original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
investors are appealing to the securities and exchange commission not to limit their access to information about stock purchases and sales by corporate insiders .,investors,appealing,appealing,investors,are appealing not to limit their access to information about stock purchases and sales by corporate insiders investors to the securities and exchange commission .
companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,companies,compelled,compelled fail,companies insiders,would be compelled to publish the names of insiders who fail to file reports on time in annual proxy statements companies .
"he believes in what he plays , and he plays superbly .",he,believes,believes plays,he he,"believes he in what plays he , and plays superbly he ."
"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it,felt,felt,it,"felt it more like a party , or a highly polished jam session with a few friends , than a classical concert ."
"and so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",it,went,disturb went,none it,"and so went it through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb a listener or challenge ."
"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it,was,was chooses,it stoltzman,"was it not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which chooses his selections mr. stoltzman ."
but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it,was,was,it,but was it neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .
"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this,is,is managed,this group,"is this the u.n. group that managed to traduce its own charter of promoting education , science and culture ."
but we can think of many reasons to stay out for the foreseeable future and well beyond .,we,think,think,we,but can think we of many reasons to stay out for the foreseeable future and well beyond .
unesco is now holding its biennial meetings in paris to devise its next projects .,unesco,holding,holding,unesco,is now holding its biennial meetings to devise its next projects unesco in paris .
"soviets remain in charge of education programs , a former head of an african military tribunal for executions is in charge of culture , and a hard-line polish communist in exile directs the human-rights and peace division .",soviets,remain,remain is directs,soviets head communist,"remain is a former head of an african military tribunal for executions in charge of culture soviets in charge of education programs , , and directs the human-rights and peace division a hard-line polish communist in exile ."
we see an even stronger argument against unesco than its unsurprising failure to reform .,we,see,see,we,see an even stronger argument against unesco than its unsurprising failure to reform we .
this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this,is,is shows,this revolution,is that shows the power of ideas unencumbered by international civil servants or government functionaries the reagan revolution spanning eastern europe and tiananmen square this .
"we can see plenty of reasons to stay out , and none to rejoin unesco .",we,see,see,we,"can see plenty of reasons to stay out , and none to rejoin unesco we ."
"they sow a row of male-fertile plants nearby , which then pollinate the male-sterile plants .",they,sow,sow,they,"sow nearby a row of male-fertile plants they , which then pollinate the male-sterile plants ."
"at plant genetic systems , researchers have isolated a pollen-inhibiting gene that can be inserted in a plant to confer male sterility .",researchers,isolated,isolated,researchers,"at plant genetic systems , have isolated a pollen-inhibiting gene that can be inserted to confer male sterility in a plant researchers ."
"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they,attached,attached,they,"attached a second gene , for herbicide resistance , they to the pollen-inhibiting gene ."
