original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
investors are appealing to the securities and exchange commission not to limit their access to information about stock purchases and sales by corporate insiders .,investors,appealing,appealing,investors,investors are appealing not to limit their access to information about stock purchases and sales by corporate insiders to the securities and exchange commission .
companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,companies,compelled,compelled fail,companies insiders,companies would be compelled to publish the names of insiders who fail to file reports on time in annual proxy statements .
"he believes in what he plays , and he plays superbly .",he,believes,believes plays,he he,"he believes in what he plays , and he plays superbly ."
"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it,felt,felt,it,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert ."
"and so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",it,went,disturb went,none it,"and it so went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb a listener or challenge ."
"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it,was,chooses was,stoltzman it,"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections ."
but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it,was,was,it,but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .
"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this,is,is managed,this group,"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture ."
but we can think of many reasons to stay out for the foreseeable future and well beyond .,we,think,think,we,but we can think of many reasons to stay out for the foreseeable future and well beyond .
unesco is now holding its biennial meetings in paris to devise its next projects .,unesco,holding,holding,unesco,unesco is now holding its biennial meetings to devise its next projects in paris .
"soviets remain in charge of education programs , a former head of an african military tribunal for executions is in charge of culture , and a hard-line polish communist in exile directs the human-rights and peace division .",soviets,remain,remain is directs,soviets head communist,"soviets remain a former head of an african military tribunal for executions is in charge of culture in charge of education programs , , and a hard-line polish communist in exile directs the human-rights and peace division ."
we see an even stronger argument against unesco than its unsurprising failure to reform .,we,see,see,we,we see an even stronger argument against unesco than its unsurprising failure to reform .
this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this,is,is shows,this revolution,this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .
"we can see plenty of reasons to stay out , and none to rejoin unesco .",we,see,see,we,"we can see plenty of reasons to stay out , and none to rejoin unesco ."
"they sow a row of male-fertile plants nearby , which then pollinate the male-sterile plants .",they,sow,sow,they,"they sow nearby a row of male-fertile plants , which then pollinate the male-sterile plants ."
"at plant genetic systems , researchers have isolated a pollen-inhibiting gene that can be inserted in a plant to confer male sterility .",researchers,isolated,isolated,researchers,"at plant genetic systems , researchers have isolated a pollen-inhibiting gene that can be inserted to confer male sterility in a plant ."
"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they,attached,attached,they,"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene ."
"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he,said,said experimenting,he company,"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops ."
"he said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs u.s. seed producers about $ 70 million annually .",he,said,said obviate are costs,he approach seeds emasculation,"he said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs annually about $ 70 million u.s. seed producers ."
"nomura started a credit-card venture with american express co. that allowed cardholders to use their nomura securities accounts like a bank account , attracting the wrath of banks .",nomura,started,started,nomura,"nomura started a credit-card venture attracting the wrath of banks with american express co. that allowed cardholders to use their nomura securities accounts like a bank account , ."
"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today,is,is,today,"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans ."
"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he,dons,dons,he,"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman ."
"when he sent letters offering 1,250 retired major leaguers the chance of another season , 730 responded .",he,sent,sent,he,"he when sent letters offering the chance of another season 1,250 retired major leaguers , 730 responded ."
"( players have to be 35 or older , except for catchers , who are eligible at 32 because life behind the plate is so rough . )",players,have,have is,players life,"( players have to be 35 or older , except for catchers , who are eligible at 32 because life behind the plate is so rough ) ."
"for a long time , he ignored baseball altogether , even the sports pages .",he,ignored,ignored,he,"for a long time , he ignored altogether baseball even the sports pages , ."
these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he,hustles,hustles,he,these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .
some have been training for months ; others only recently left active status .,others,left,left,others,some have been training for months ; others only recently left active status .
so he adjusts .,he,adjusts,adjusts,he,he so adjusts .
he no longer crowds the plate .,he,crowds,crowds,he,he no longer crowds the plate .
"stuffing a wad of red man into his cheek , he admits the fastball he brought into the majors in 1955 has become a slowball .",he,admits,admits become brought,he fastball he,"stuffing a wad of red man into his cheek , he admits the fastball he brought into the majors in 1955 has become a slowball ."
he will compensate with the guile learned from his years in the majors .,he,compensate,compensate,he,he will compensate with the guile learned from his years in the majors .
he has good control .,he,has,has,he,he has good control .
"he will keep the ball down , move it around .",he,keep,keep,he,"he will keep down the ball , move around it ."
"alltel holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga .",alltel,holds,holds has,alltel franchise,"alltel holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga ."
reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .,reserves,traded,traded,reserves,reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .
it also reported a 2.6 % decline in its raw-materials price index for september .,it,reported,reported,it,it also reported a 2.6 % decline in its raw-materials price index for september .
"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats,quoted,quoted,seats,"seats currently are quoted at $ 400,000 bid , $ 425,000 asked ."
gm has been negotiating a friendly transaction with jaguar that likely would involve joint ventures and an eventual stake of just under 30 % .,gm,negotiating,negotiating,gm,gm has been negotiating a friendly transaction with jaguar that likely would involve joint ventures and an eventual stake of just under 30 % .
"analysts expect ford will make the first move , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share .",analysts,expect,expect make,analysts ford,"analysts expect ford will make the first move , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share ."
"in a prepared statement , gm suggested its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid .",gm,suggested,reap suggested,investors gm,"in a prepared statement , gm suggested its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid ."
"dow will own 60 % of the venture , with eli lilly holding the rest .",dow,own,own holding,dow lilly,"dow will own 60 % of the venture , with eli lilly holding the rest ."
"dataproducts is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates .",dataproducts,fighting,fighting,dataproducts,"dataproducts is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates ."
"after a stronger-than-expected pace early this year , analysts say the market , after a series of sharp swings in recent months , now shows signs of retreating .",analysts,say,shows say,market analysts,"after a stronger-than-expected pace early this year , analysts say , after a series of sharp swings in recent months , the market now shows signs of retreating ."
