original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
"he believes in what he plays , and he plays superbly .",he,believes,believes plays,he he,"he believes in what he plays , and he plays superbly ."
"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it,felt,felt,it,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert ."
"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it,was,was chooses,it stoltzman,"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which his selections mr. stoltzman chooses ."
but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it,was,was,it,but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .
"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this,is,is managed,this group,"this is the u.n. group that its own charter of education , science and culture promoting to traduce managed ."
but we can think of many reasons to stay out for the foreseeable future and well beyond .,we,think,think,we,but we can think of many reasons out to stay for the foreseeable future and well beyond .
we see an even stronger argument against unesco than its unsurprising failure to reform .,we,see,see,we,an even stronger argument against unesco than its unsurprising failure to reform we see .
this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this,is,is shows,this revolution,that the power of ideas unencumbered by international civil servants or government functionaries the reagan revolution eastern europe and tiananmen square spanning shows this is .
"we can see plenty of reasons to stay out , and none to rejoin unesco .",we,see,see,we,"plenty of reasons to stay out , and none unesco to rejoin we can see ."
"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they,attached,attached,they,"a second gene , for herbicide resistance , they attached to the pollen-inhibiting gene ."
"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he,said,experimenting said,company he,"the company is experimenting with the technique on alfalfa , and cotton and corn , among other crops to include plans he said ."
"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today,is,is,today,"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans ."
"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he,dons,dons,he,"midmorning , an orange-and-blue uniform he dons and , for fun , a bunt from dave kingman may field ."
these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he,hustles,hustles,he,these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .
some have been training for months ; others only recently left active status .,others,left,left,others,some have been training for months ; active status others only recently left .
he no longer crowds the plate .,he,crowds,crowds,he,the plate he no longer crowds .
"stuffing a wad of red man into his cheek , he admits the fastball he brought into the majors in 1955 has become a slowball .",he,admits,admits become brought,he fastball he,"a wad of red man stuffing into his cheek , a slowball the fastball he brought into the majors in 1955 has become he admits ."
he will compensate with the guile learned from his years in the majors .,he,compensate,compensate,he,he will compensate with the guile learned from his years in the majors .
he has good control .,he,has,has,he,good control he has .
"alltel holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga .",alltel,holds,has holds,franchise alltel,"45 % of the franchise , which operations in aiken , s.c. , and augusta , ga has alltel holds ."
reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .,reserves,traded,traded,reserves,reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .
it also reported a 2.6 % decline in its raw-materials price index for september .,it,reported,reported,it,a 2.6 % decline in its raw-materials price index for september it also reported .
"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats,quoted,quoted,seats,"seats currently are quoted at $ 400,000 bid , $ 425,000 asked ."
gm has been negotiating a friendly transaction with jaguar that likely would involve joint ventures and an eventual stake of just under 30 % .,gm,negotiating,negotiating,gm,a friendly transaction with jaguar that joint ventures and an eventual stake of just under 30 % likely would involve gm has been negotiating .
"analysts expect ford will make the first move , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share .",analysts,expect,expect make,analysts ford,"the first move ford will make , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share analysts expect ."
"in a prepared statement , gm suggested its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid .",gm,suggested,suggested reap,gm investors,"in a prepared statement , its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid gm suggested ."
"dow will own 60 % of the venture , with eli lilly holding the rest .",dow,own,holding own,lilly dow,"60 % of the venture dow will own , with the rest eli lilly holding ."
"dataproducts is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates .",dataproducts,fighting,fighting,dataproducts,"a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates dataproducts is fighting ."
"but trading was very sketchy , as investment decision makers remain wary from gyrations and upsets of recent weeks .",trading,was,was remain,trading makers,"but trading was very sketchy , as wary investment decision makers remain from gyrations and upsets of recent weeks ."
