original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
"he believes in what he plays , and he plays superbly .",he,believes,believes plays,he he,"believes he in what plays he , and plays superbly he ."
"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it,felt,felt,it,"felt it more like a party , or a highly polished jam session with a few friends , than a classical concert ."
"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it,was,was chooses,it stoltzman,"was it not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which chooses mr. stoltzman his selections ."
but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it,was,was,it,but was it neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .
"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this,is,is managed,this group,"is this the u.n. group that managed to traduce its own charter of promoting education , science and culture ."
but we can think of many reasons to stay out for the foreseeable future and well beyond .,we,think,think,we,but can think we of many reasons to stay out for the foreseeable future and well beyond .
we see an even stronger argument against unesco than its unsurprising failure to reform .,we,see,see,we,see we an even stronger argument against unesco than its unsurprising failure to reform .
this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this,is,is shows,this revolution,is this that shows the reagan revolution spanning eastern europe and tiananmen square the power of ideas unencumbered by international civil servants or government functionaries .
"we can see plenty of reasons to stay out , and none to rejoin unesco .",we,see,see,we,"can see we plenty of reasons to stay out , and none to rejoin unesco ."
"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they,attached,attached,they,"attached they a second gene , for herbicide resistance , to the pollen-inhibiting gene ."
"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he,said,said experimenting,he company,"said he is experimenting the company with the technique on alfalfa , and plans to include cotton and corn , among other crops ."
"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today,is,is,today,"is today the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans ."
