original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
investors are appealing to the securities and exchange commission not to limit their access to information about stock purchases and sales by corporate insiders .,investors,appealing,appealing,investors,their access to information about stock purchases and sales by corporate insiders not to limit are appealing investors to the securities and exchange commission .
companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,companies,compelled,fail compelled,insiders companies,the names of insiders who reports to file on time fail to publish in annual proxy statements would be compelled companies .
"he believes in what he plays , and he plays superbly .",he,believes,believes plays,he he,"believes he in what plays he , and plays superbly he ."
"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it,felt,felt,it,"felt it more like a party , or a highly polished jam session with a few friends , than a classical concert ."
"and so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",it,went,went disturb,it none,"and so went it through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that a listener would disturb or challenge ."
"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it,was,chooses was,stoltzman it,"was it not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which his selections chooses mr. stoltzman ."
but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it,was,was,it,but was it neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .
"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this,is,is managed,this group,"is this the u.n. group that its own charter of education , science and culture promoting to traduce managed ."
but we can think of many reasons to stay out for the foreseeable future and well beyond .,we,think,think,we,but can think we of many reasons out to stay for the foreseeable future and well beyond .
unesco is now holding its biennial meetings in paris to devise its next projects .,unesco,holding,holding,unesco,its biennial meetings its next projects to devise is now holding unesco in paris .
"soviets remain in charge of education programs , a former head of an african military tribunal for executions is in charge of culture , and a hard-line polish communist in exile directs the human-rights and peace division .",soviets,remain,is directs remain,head communist soviets,"is a former head of an african military tribunal for executions in charge of culture remain soviets in charge of education programs , , and the human-rights and peace division directs a hard-line polish communist in exile ."
we see an even stronger argument against unesco than its unsurprising failure to reform .,we,see,see,we,an even stronger argument against unesco than its unsurprising failure to reform see we .
this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this,is,shows is,revolution this,that the power of ideas unencumbered by international civil servants or government functionaries shows the reagan revolution eastern europe and tiananmen square spanning is this .
"we can see plenty of reasons to stay out , and none to rejoin unesco .",we,see,see,we,"plenty of reasons to stay out , and none unesco to rejoin can see we ."
"they sow a row of male-fertile plants nearby , which then pollinate the male-sterile plants .",they,sow,sow,they,"a row of male-fertile plants sow nearby they , which the male-sterile plants then pollinate ."
"at plant genetic systems , researchers have isolated a pollen-inhibiting gene that can be inserted in a plant to confer male sterility .",researchers,isolated,isolated,researchers,"at plant genetic systems , a pollen-inhibiting gene that male sterility to confer can be inserted in a plant have isolated researchers ."
"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they,attached,attached,they,"a second gene , for herbicide resistance , attached they to the pollen-inhibiting gene ."
"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he,said,experimenting said,company he,"is experimenting the company with the technique on alfalfa , and cotton and corn , among other crops to include plans said he ."
"he said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs u.s. seed producers about $ 70 million annually .",he,said,costs are said obviate,emasculation seeds he approach,"that even though are virtually all corn seeds currently planted hybrids , the need for mechanical emasculation of anthers , which about $ 70 million costs annually u.s. seed producers will obviate the genetic approach said he ."
"nomura started a credit-card venture with american express co. that allowed cardholders to use their nomura securities accounts like a bank account , attracting the wrath of banks .",nomura,started,started,nomura,"a credit-card venture the wrath of banks attracting started nomura with american express co. that cardholders their nomura securities accounts to use like a bank account allowed , ."
"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today,is,is,today,"is today the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans ."
"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he,dons,dons,he,"midmorning , an orange-and-blue uniform dons he and , for fun , a bunt from dave kingman may field ."
"when he sent letters offering 1,250 retired major leaguers the chance of another season , 730 responded .",he,sent,sent,he,"letters the chance of another season offering 1,250 retired major leaguers when sent he , responded 730 ."
"( players have to be 35 or older , except for catchers , who are eligible at 32 because life behind the plate is so rough . )",players,have,is have,life players,"( to be 35 or older have players , except for catchers , who are eligible at 32 because is life behind the plate so rough ) ."
"for a long time , he ignored baseball altogether , even the sports pages .",he,ignored,ignored,he,"for a long time , baseball even the sports pages ignored altogether he , ."
these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he,hustles,hustles,he,these days hustles he to house-painting jobs in his chevy pickup before and after training with the tropics .
some have been training for months ; others only recently left active status .,others,left,left,others,have been training some for months ; active status only recently left others .
so he adjusts .,he,adjusts,adjusts,he,so adjusts he .
he no longer crowds the plate .,he,crowds,crowds,he,the plate no longer crowds he .
"stuffing a wad of red man into his cheek , he admits the fastball he brought into the majors in 1955 has become a slowball .",he,admits,brought become admits,he fastball he,"a wad of red man stuffing into his cheek , a slowball has become the fastball brought he into the majors in 1955 admits he ."
he will compensate with the guile learned from his years in the majors .,he,compensate,compensate,he,will compensate he with the guile learned from his years in the majors .
he has good control .,he,has,has,he,good control has he .
"he will keep the ball down , move it around .",he,keep,keep,he,"the ball will keep down he , it move around ."
"alltel holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga .",alltel,holds,has holds,franchise alltel,"45 % of the franchise , which operations in aiken , s.c. , and augusta , ga has holds alltel ."
reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .,reserves,traded,traded,reserves,traded reserves among commercial banks for overnight use in amounts of $ 1 million or more .
it also reported a 2.6 % decline in its raw-materials price index for september .,it,reported,reported,it,a 2.6 % decline in its raw-materials price index for september also reported it .
"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats,quoted,quoted,seats,"currently are quoted seats at $ 400,000 bid , $ 425,000 asked ."
gm has been negotiating a friendly transaction with jaguar that likely would involve joint ventures and an eventual stake of just under 30 % .,gm,negotiating,negotiating,gm,a friendly transaction with jaguar that joint ventures and an eventual stake of just under 30 % likely would involve has been negotiating gm .
"analysts expect ford will make the first move , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share .",analysts,expect,expect make,analysts ford,"the first move will make ford , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share expect analysts ."
"in a prepared statement , gm suggested its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid .",gm,suggested,suggested reap,gm investors,"in a prepared statement , its plans for jaguar would be more valuable in the long run than the initial windfalls might reap investors from a hostile ford bid suggested gm ."
"dow will own 60 % of the venture , with eli lilly holding the rest .",dow,own,holding own,lilly dow,"60 % of the venture will own dow , with the rest holding eli lilly ."
"dataproducts is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates .",dataproducts,fighting,fighting,dataproducts,"a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates is fighting dataproducts ."
"after a stronger-than-expected pace early this year , analysts say the market , after a series of sharp swings in recent months , now shows signs of retreating .",analysts,say,say shows,analysts market,"after a stronger-than-expected pace early this year , , after a series of sharp swings in recent months , signs of retreating now shows the market say analysts ."
"first , he said , domestic interest rates are likely to stay at higher levels as increased anticipation of inflation followed rising consumer prices reported last week .",he,said,said are followed,he rates anticipation,"first , said he , are domestic interest rates likely to stay at higher levels as rising consumer prices reported last week followed increased anticipation of inflation ."
"volume totaled a modest 334.5 million shares , up from 257.8 million shares monday .",volume,totaled,totaled,volume,"a modest 334.5 million shares totaled up from 257.8 million shares monday volume , ."
"despite the modest gains , traders said the market remains dull , with investors remaining cautiously on the sidelines .",traders,said,said remaining remains,traders investors market,"despite the modest gains , dull remains the market , with remaining cautiously investors on the sidelines said traders ."
prices were mixed in zurich and lower in stockholm .,prices,were,were,prices,were prices mixed in zurich and lower in stockholm .
"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul .",stocks,closed,closed,stocks,"closed higher stocks in hong kong , manila , singapore , sydney and wellington , but were lower in seoul ."
taipei was closed for a holiday .,taipei,closed,closed,taipei,was closed taipei for a holiday .
he said summer drought problems that had hit several southern agricultural regions had stopped being a major source of price pressure in september .,he,said,stopped said,problems he,being a major source of price pressure had stopped summer drought problems that several southern agricultural regions had hit in september said he .
"metromedia said its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million .",metromedia,said,said is,metromedia unit,"is its unit the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million said metromedia ."
"canonie said it anticipates naming mr. donovan to succeed richard f. brissette , 55 , as president and chief executive officer , effective march 1 .",canonie,said,anticipates said,it canonie,"mr. donovan richard f. brissette , 55 , effective march 1 to succeed as president and chief executive officer , naming anticipates it said canonie ."
"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said .",banxquote,said,was said,yield banxquote,"was the average six-month yield on a jumbo cd at 7.90 % , down from 7.93 % , said banxquote ."
"for longer-term cds , yields were up .",yields,were,were,yields,"for longer-term cds , were up yields ."
i had to reach back to french 101 when the monsieur avec clipboard leaned over my shoulder during the coffee phase of dinner and asked whether i wanted to ride in a montgolfiere .,i,had,leaned had wanted,clipboard i i,to reach back to french 101 had i when leaned the monsieur avec clipboard over my shoulder during the coffee phase of dinner and whether to ride in a montgolfiere wanted i asked .
"i was a last-minute ( read interloping ) attendee at a french journalism convention and so far the festivities had been taken up entirely by eating , drinking , smoking , sleeping and drinking .",i,was,was taken,i festivities,"was i a last-minute ( read interloping ) attendee at a french journalism convention and so far had been taken up the festivities entirely by eating , drinking , smoking , sleeping and drinking ."
