original_sent,main_subj,main_verb,all_verbs,all_subjs,reordered_sent
investors are appealing to the securities and exchange commission not to limit their access to information about stock purchases and sales by corporate insiders .,investors,appealing,appealing,investors,investors their access to information about stock purchases and sales by corporate insiders not to limit are appealing to the securities and exchange commission .
companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,companies,compelled,fail compelled,insiders companies,companies the names of insiders who reports to file on time fail to publish in annual proxy statements would be compelled .
"he believes in what he plays , and he plays superbly .",he,believes,believes plays,he he,"he believes in what he plays , and he plays superbly ."
"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it,felt,felt,it,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert ."
"and so it went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that would disturb or challenge a listener .",it,went,disturb went,none it,"and it so went through the first half : an ingeniously chosen potpourri of pieces , none longer than five minutes , none that a listener would disturb or challenge ."
"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it,was,was chooses,it stoltzman,"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman his selections chooses ."
but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it,was,was,it,but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .
"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this,is,is managed,this group,"this is the u.n. group that its own charter of education , science and culture promoting to traduce managed ."
but we can think of many reasons to stay out for the foreseeable future and well beyond .,we,think,think,we,but we can think of many reasons out to stay for the foreseeable future and well beyond .
unesco is now holding its biennial meetings in paris to devise its next projects .,unesco,holding,holding,unesco,unesco its biennial meetings its next projects to devise is now holding in paris .
"soviets remain in charge of education programs , a former head of an african military tribunal for executions is in charge of culture , and a hard-line polish communist in exile directs the human-rights and peace division .",soviets,remain,remain is directs,soviets head communist,"soviets a former head of an african military tribunal for executions is in charge of culture remain in charge of education programs , , and a hard-line polish communist in exile the human-rights and peace division directs ."
we see an even stronger argument against unesco than its unsurprising failure to reform .,we,see,see,we,we an even stronger argument against unesco than its unsurprising failure to reform see .
this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this,is,is shows,this revolution,this that the reagan revolution eastern europe and tiananmen square spanning the power of ideas unencumbered by international civil servants or government functionaries shows is .
"we can see plenty of reasons to stay out , and none to rejoin unesco .",we,see,see,we,"we plenty of reasons to stay out , and none unesco to rejoin can see ."
"they sow a row of male-fertile plants nearby , which then pollinate the male-sterile plants .",they,sow,sow,they,"they a row of male-fertile plants sow nearby , which the male-sterile plants then pollinate ."
"at plant genetic systems , researchers have isolated a pollen-inhibiting gene that can be inserted in a plant to confer male sterility .",researchers,isolated,isolated,researchers,"at plant genetic systems , researchers a pollen-inhibiting gene that male sterility to confer can be inserted in a plant have isolated ."
"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they,attached,attached,they,"they a second gene , for herbicide resistance , attached to the pollen-inhibiting gene ."
"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he,said,experimenting said,company he,"he the company is experimenting with the technique on alfalfa , and cotton and corn , among other crops to include plans said ."
"he said that even though virtually all corn seeds currently planted are hybrids , the genetic approach will obviate the need for mechanical emasculation of anthers , which costs u.s. seed producers about $ 70 million annually .",he,said,are obviate said costs,seeds approach he emasculation,"he that even though virtually all corn seeds currently planted are hybrids , the genetic approach the need for mechanical emasculation of anthers , which about $ 70 million costs annually u.s. seed producers will obviate said ."
"nomura started a credit-card venture with american express co. that allowed cardholders to use their nomura securities accounts like a bank account , attracting the wrath of banks .",nomura,started,started,nomura,"nomura a credit-card venture the wrath of banks attracting started with american express co. that cardholders their nomura securities accounts to use like a bank account allowed , ."
